x,y,speed,pos,angle
1920.0,1497.65,1.41,17.72,173.49
1928.56,1422.76,1.29,93.22,173.49
1908.92,1356.95,1.24,16.16,247.0
1835.21,1345.88,1.4,70.86,263.47
1759.28,1338.69,1.29,147.2,271.43
1733.1,1290.22,1.32,71.39,174.99
1740.84,1215.41,1.35,6.1,173.82
1746.82,1139.2,1.32,80.03,174.61
1753.95,1063.89,1.35,4.38,174.51
1738.11,1024.19,1.13,1.06,174.03
1751.54,957.5,1.16,21.31,174.21
1759.01,882.03,1.23,97.19,174.57
1827.66,886.27,1.37,76.11,83.99
1903.68,894.27,1.34,9.06,83.99
1972.44,891.06,1.38,2.68,173.77
1980.93,813.22,1.34,80.74,173.77
2035.41,795.86,1.16,37.0,83.64
2111.0,804.3,1.28,58.49,83.63
2187.92,812.77,1.24,20.63,83.86
2210.35,754.44,1.31,15.1,174.16
2211.55,749.03,1.36,20.6,354.16
2192.37,813.89,1.26,25.18,263.86
2117.1,805.62,1.29,64.7,263.63
2042.04,797.24,1.36,43.74,263.64
1982.66,808.11,1.2,86.28,340.65
1973.24,883.74,1.19,10.02,353.77
1964.47,957.09,1.31,43.29,174.28
1952.58,898.7,1.38,15.76,264.15
1876.8,890.8,1.31,26.76,263.99
1800.17,882.73,1.38,103.82,263.99
1777.87,828.65,1.23,44.76,173.5
1754.16,779.36,1.15,16.83,264.65
1679.15,770.75,1.25,9.51,263.67
1604.39,762.81,1.21,12.41,263.66
1528.17,754.34,1.2,89.1,263.66
1453.39,745.33,1.29,1.73,246.53
1425.88,730.68,1.17,24.62,263.46
1350.33,722.39,1.37,66.87,263.88
1274.79,713.18,1.15,2.26,307.05
1198.81,706.84,1.15,51.82,264.38
1124.96,699.32,1.19,174.02,263.59
1048.41,690.72,1.31,96.87,263.59
973.67,682.45,1.37,21.54,263.78
915.26,668.49,1.36,94.71,252.23
842.95,645.99,1.21,18.99,252.23
857.46,664.75,1.33,76.03,72.24
929.71,687.9,1.18,0.15,72.26
969.7,696.18,1.24,167.6,83.78
1045.75,704.59,1.25,91.23,83.59
1122.34,713.19,1.4,14.29,83.59
1197.91,720.89,1.32,44.85,84.38
1272.83,728.41,1.31,9.54,84.39
1347.11,736.2,1.2,43.59,83.88
1424.26,744.67,1.32,12.15,83.46
1433.3,807.87,1.22,9.49,353.31
1428.19,882.7,1.24,12.65,353.72
1419.05,956.96,1.23,0.02,352.42
1444.37,961.75,0.0,17.07,353.06
1472.58,1001.14,1.34,31.09,83.72
1548.35,1009.48,1.39,107.32,83.72
1623.58,1017.76,1.2,183.0,83.72
1699.99,1026.17,1.34,259.87,83.72
1736.96,1055.37,1.17,10.31,88.42
1752.65,1090.97,1.35,31.46,354.61
1745.43,1167.61,1.38,108.44,354.61
1738.54,1242.86,1.37,23.73,354.99
1731.88,1318.73,1.15,99.9,354.95
1786.13,1340.14,1.16,120.27,84.18
1861.95,1348.3,1.36,44.02,83.47
1928.52,1375.38,1.21,7.33,19.13
1925.28,1451.41,1.28,64.34,353.49
1916.57,1527.72,1.33,7.38,353.52
1938.54,1565.84,1.19,1.04,84.56
2014.2,1573.04,1.41,77.04,84.56
2089.96,1580.26,1.18,153.14,84.56
2111.89,1520.47,1.35,59.36,173.16
2109.57,1550.59,1.23,29.3,353.16
2059.46,1578.64,1.37,122.62,264.56
1984.03,1571.46,1.35,46.86,264.56
1912.58,1564.02,1.32,10.47,263.45
1894.14,1634.75,1.36,7.17,337.48
1824.33,1640.13,1.22,61.56,263.72
1748.35,1631.76,1.14,137.99,263.72
