x,y,speed,pos,angle
1438.87,1697.23,0.00,0.18,21.25
1494.08,1708.59,1.20,4.25,111.39
1560.71,1684.29,1.16,2.82,108.85
1626.16,1660.07,1.29,2.34,109.92
1679.95,1621.34,1.24,14.65,163.07
1682.87,1550.38,1.19,49.90,177.40
1691.60,1483.36,1.16,35.49,174.40
1698.36,1412.97,1.13,44.46,174.40
1714.63,1344.04,1.11,0.01,137.45
1724.53,1278.00,1.17,52.28,174.99
1729.60,1207.29,1.25,0.83,174.44
1737.38,1137.02,1.20,68.01,174.61
1744.06,1066.43,1.22,138.91,174.51
1738.97,1010.42,1.16,2.96,179.95
1753.11,948.40,1.12,30.52,174.21
1761.20,876.81,1.16,4.64,148.46
1828.69,886.38,1.17,75.07,83.99
1900.59,893.94,1.19,2.77,83.99
1854.74,887.19,1.23,49.08,263.99
1784.09,879.77,1.16,120.12,264.29
1755.90,920.90,1.22,58.18,354.21
1741.26,987.57,1.18,3.05,306.60
1735.58,1053.35,1.21,1.06,354.08
1740.87,1113.63,1.12,91.62,354.61
1734.26,1183.72,1.22,21.22,354.61
1727.93,1253.89,1.07,76.60,354.99
1721.75,1324.47,1.25,5.75,355.01
1701.43,1388.64,1.08,9.12,354.93
1694.60,1459.27,1.10,59.69,354.40
1688.37,1531.68,1.21,7.66,357.82
1622.32,1533.11,1.22,18.15,270.46
1562.23,1547.24,1.23,25.08,285.01
1494.88,1568.95,1.19,0.39,289.59
1496.87,1609.01,1.16,3.17,337.23
1504.09,1565.38,1.11,38.95,109.59
1572.83,1543.74,1.25,14.06,105.01
1633.34,1533.04,1.06,29.13,85.73
1688.12,1521.45,1.08,17.87,177.82
1694.82,1449.05,1.28,8.21,174.40
1701.70,1378.40,1.10,19.16,174.93
1733.23,1338.07,1.12,173.23,91.45
1803.96,1341.96,1.17,102.35,84.18
1874.29,1349.71,1.21,31.60,83.47
1930.40,1382.46,1.14,0.26,2.38
1925.02,1453.69,1.23,62.04,353.49
1917.31,1524.35,1.22,0.27,353.52
1890.48,1563.65,1.06,157.73,264.79
1819.20,1557.15,1.18,86.16,264.79
1747.22,1550.59,1.09,13.89,264.79
1718.24,1545.13,1.16,3.34,265.95
1697.03,1523.11,1.27,4.40,264.29
1657.23,1536.11,1.28,53.15,265.73
1586.40,1532.98,1.11,0.38,262.57
1516.67,1524.64,1.24,54.41,263.34
1445.71,1516.21,1.07,3.16,218.69
1450.02,1445.49,1.31,0.96,161.06
1448.03,1480.63,1.11,14.63,357.82
1467.23,1533.94,1.27,28.85,40.73
1512.65,1573.11,1.21,15.31,107.68
1580.92,1552.91,1.14,86.50,103.73
1621.22,1569.39,1.24,2.26,114.23
1671.59,1545.18,1.14,20.34,89.51
1722.81,1524.80,1.20,20.76,174.59
1728.89,1455.49,1.15,24.16,175.52
1734.73,1383.86,1.14,22.18,173.90
1730.17,1323.59,1.14,104.88,175.01
1736.36,1253.02,1.25,34.05,174.99
1742.78,1182.05,1.24,123.06,174.61
1749.50,1110.79,1.30,51.49,174.61
1746.09,1056.96,1.07,1.13,264.44
1762.59,1026.01,1.26,4.41,83.62
1820.72,1041.37,1.13,115.74,84.09
1891.05,1048.65,1.32,45.04,84.09
1955.39,1044.81,1.24,3.07,84.51
2018.15,1041.78,1.18,26.01,83.75
2088.67,1049.50,1.15,96.95,83.75
2159.49,1059.70,1.07,3.41,354.45
2146.04,1057.07,1.31,154.80,263.75
2075.68,1049.36,1.31,84.02,263.75
2005.26,1041.65,1.27,13.18,263.75
1943.18,1044.86,1.25,3.45,264.15
1879.84,1048.77,1.10,56.18,264.09
1808.93,1041.43,1.17,127.46,264.09
1748.33,1025.75,1.16,0.61,264.23
1745.34,1073.22,1.07,132.28,354.51
1738.64,1144.11,1.23,61.07,354.61
1730.81,1214.73,1.29,3.92,354.44
1725.86,1284.87,1.19,45.56,354.99
1710.25,1350.91,1.17,48.58,317.45
1698.87,1420.95,1.29,36.58,354.40
1692.04,1491.93,1.12,27.04,354.40
1683.81,1557.83,1.15,42.49,357.46
1655.77,1608.88,1.06,25.89,283.25
1586.35,1627.01,1.24,18.51,287.42
1522.58,1649.73,1.23,7.37,20.60
1514.88,1662.55,1.28,13.63,289.50
1489.74,1671.74,1.14,2.34,199.62
1516.04,1671.27,1.29,7.12,109.15
1506.74,1705.01,1.16,17.35,291.39
1448.69,1698.59,1.30,1.00,226.53
1384.48,1715.87,1.25,54.38,290.08
1322.94,1724.79,1.06,14.97,230.95
1265.24,1682.48,1.21,15.55,237.00
1202.13,1649.20,1.10,87.06,243.68
1138.23,1617.59,1.18,158.40,243.68
1087.81,1629.23,1.22,2.86,333.43
1113.79,1604.78,1.16,186.01,63.68
1177.61,1636.35,1.13,114.76,63.68
1240.40,1667.87,1.16,44.44,61.71
1299.42,1704.89,1.15,45.83,50.95
1355.57,1725.75,1.21,0.30,109.53
1421.42,1701.69,1.10,14.82,110.08
1414.04,1664.75,1.25,44.48,226.42
1368.17,1613.29,1.07,16.04,225.18
1351.54,1560.25,1.26,21.01,172.39
1360.67,1489.26,1.27,14.04,173.42
1368.82,1418.58,1.14,85.21,173.42
1375.78,1348.75,1.19,155.40,174.93
1380.64,1297.69,1.11,2.99,147.14
1388.55,1226.18,1.28,4.80,173.57
1394.41,1157.15,1.11,13.41,173.81
1402.14,1085.87,1.10,85.04,173.81
1404.38,1020.07,1.16,7.51,271.07
1399.34,981.82,1.26,4.09,173.52
1422.13,928.41,1.15,12.48,172.98
1430.26,858.02,1.07,37.41,173.72
