x,y,speed,pos,angle
2069.13,2076.74,0.00,0.20,190.72
2065.72,1995.31,1.36,74.20,181.68
2020.71,1959.82,1.24,41.54,273.24
1938.20,1958.14,1.26,11.15,266.84
1856.05,1952.85,1.39,93.45,265.77
1784.43,1937.37,1.25,116.76,262.25
1706.09,1915.93,1.39,34.82,245.24
1670.40,1882.23,1.45,1.44,84.09
1670.29,1808.88,1.50,71.94,173.95
1679.04,1726.37,1.51,19.95,173.95
1687.68,1644.92,1.49,101.88,173.96
1660.29,1607.82,1.27,30.53,283.25
1612.50,1566.26,1.25,0.49,197.59
1672.38,1545.19,1.51,21.13,89.51
1723.89,1513.36,1.31,32.25,174.59
1730.52,1434.70,1.29,45.01,175.52
1737.58,1354.57,1.51,2.66,207.85
1733.89,1281.28,1.23,62.42,174.99
1741.05,1200.32,1.27,141.42,174.61
1748.75,1118.76,1.33,59.49,174.61
1742.66,1056.81,1.47,4.57,268.42
1772.03,1022.79,1.30,45.81,172.64
1851.46,1027.09,1.35,88.30,84.05
1933.20,1035.60,1.49,6.12,84.05
1933.98,1040.99,1.32,3.61,85.24
1861.03,1029.37,1.35,78.54,264.05
1778.99,1020.83,1.35,36.58,264.05
1738.83,999.56,0.00,1.66,174.56
1779.28,983.78,1.39,179.16,84.09
1861.47,992.29,1.52,96.54,84.09
1942.66,1000.69,1.33,14.91,84.09
1970.75,977.87,1.41,60.67,174.28
1981.87,897.70,1.52,251.71,173.65
1990.99,815.76,1.41,169.26,173.65
2070.81,815.91,1.40,86.26,84.20
2153.46,824.31,1.25,3.18,84.20
2163.72,816.38,1.23,5.23,173.90
2205.47,810.73,1.22,0.84,354.49
2125.47,806.56,1.49,73.12,263.63
2044.05,797.46,1.29,45.77,263.64
1970.79,798.18,1.48,11.12,265.09
1889.12,791.16,1.33,93.09,265.09
1807.47,784.14,1.23,175.04,265.09
1726.22,776.33,1.52,11.35,263.66
1644.47,767.26,1.43,33.06,263.67
1563.29,758.24,1.32,53.76,263.66
1482.56,749.28,1.41,134.98,263.66
1439.12,748.71,1.34,1.35,238.98
1356.49,738.49,1.36,34.03,263.88
1274.79,729.90,1.40,7.45,264.15
1191.94,721.59,1.36,50.72,264.38
1109.03,712.98,1.38,27.52,263.59
1027.74,703.85,1.39,109.17,263.62
945.99,693.93,1.45,3.20,269.94
